year,day,hour,xco2
2018,159,20.375,406.88
2018,159,20.449,406.88
2018,159,20.643,406.88
2018,159,20.935,406.88
2018,159,20.98,406.88
2018,159,21.219,406.88
2018,159,16.392,406.89
2018,159,16.404,406.89
2018,159,16.469,406.89
2018,159,16.759,406.89
2018,159,17.035,406.89
2018,159,17.192,406.89
2018,159,17.47,406.89
2018,159,17.666,406.89
2018,159,17.671,406.89
2018,159,17.713,406.89
2018,159,18.022,406.89
2018,159,18.376,406.89
2018,159,18.467,406.89
2018,159,18.806,406.89
2018,159,19.025,406.89
2018,159,19.144,406.89
2018,159,19.169,406.89
2018,159,19.456,406.89
2018,159,19.476,406.89
2018,159,19.763,406.89
2018,159,20.059,406.89
2018,159,20.147,406.89
2018,159,20.274,406.89
2018,159,20.323,406.89
2018,159,20.465,406.89
2018,159,20.48,406.89
2018,159,20.587,406.89
2018,159,20.617,406.89
2018,159,20.721,406.89
2018,159,21.077,406.89
2018,159,21.139,406.89
2018,159,21.143,406.89
2018,159,21.198,406.89
2018,159,16.681,406.9
2018,159,16.737,406.9
2018,159,16.767,406.9
2018,159,16.772,406.9
2018,159,16.782,406.9
2018,159,17.04,406.9
2018,159,17.175,406.9
2018,159,17.247,406.9
2018,159,17.313,406.9
2018,159,17.454,406.9
2018,159,17.731,406.9
2018,159,18.037,406.9
2018,159,18.185,406.9
2018,159,18.448,406.9
2018,159,18.534,406.9
2018,159,19.103,406.9
2018,159,19.279,406.9
2018,159,19.281,406.9
2018,159,19.461,406.9
2018,159,19.522,406.9
2018,159,19.733,406.9
2018,159,19.771,406.9
2018,159,19.86,406.9
2018,159,20.015,406.9
2018,159,20.135,406.9
2018,159,20.14,406.9
2018,159,20.211,406.9
2018,159,20.419,406.9
2018,159,20.663,406.9
2018,159,20.984,406.9
2018,159,21.047,406.9
2018,159,21.053,406.9
2018,159,16.362,406.91
2018,159,16.683,406.91
2018,159,16.89,406.91
2018,159,16.915,406.91
2018,159,17.316,406.91
2018,159,17.405,406.91
2018,159,17.49,406.91
2018,159,17.792,406.91
2018,159,18.315,406.91
2018,159,18.363,406.91
2018,159,18.373,406.91
2018,159,18.432,406.91
2018,159,18.664,406.91
2018,159,18.73,406.91
2018,159,18.757,406.91
2018,159,19.127,406.91
2018,159,19.427,406.91
2018,159,19.471,406.91
2018,159,19.61,406.91
2018,159,19.692,406.91
2018,159,20.314,406.91
2018,159,20.583,406.91
2018,159,20.953,406.91
2018,159,21.244,406.91
2018,159,16.91,406.92
2018,159,17.055,406.92
2018,159,17.124,406.92
2018,159,17.207,406.92
2018,159,17.303,406.92
2018,159,17.676,406.92
2018,159,17.839,406.92
2018,159,17.989,406.92
2018,159,18.073,406.92
2018,159,18.6,406.92
2018,159,18.974,406.92
2018,159,19.132,406.92
2018,159,19.245,406.92
2018,159,19.291,406.92
2018,159,19.316,406.92
2018,159,19.42,406.92
2018,159,19.935,406.92
2018,159,20.049,406.92
2018,159,20.112,406.92
2018,159,20.578,406.92
2018,159,20.796,406.92
2018,159,20.933,406.92
2018,159,16.542,406.93
2018,159,16.612,406.93
2018,159,16.793,406.93
2018,159,16.84,406.93
2018,159,16.97,406.93
2018,159,17.013,406.93
2018,159,17.073,406.93
2018,159,17.075,406.93
2018,159,17.145,406.93
2018,159,17.438,406.93
2018,159,17.486,406.93
2018,159,17.688,406.93
2018,159,17.733,406.93
2018,159,18.644,406.93
2018,159,18.782,406.93
2018,159,18.983,406.93
2018,159,19.553,406.93
2018,159,19.625,406.93
2018,159,19.893,406.93
2018,159,20.297,406.93
2018,159,20.588,406.93
2018,159,20.645,406.93
2018,159,20.852,406.93
2018,159,21.028,406.93
2018,159,16.367,406.94
2018,159,16.698,406.94
2018,159,16.723,406.94
2018,159,16.779,406.94
2018,159,17.308,406.94
2018,159,17.58,406.94
